POST-HOC DISCOVERY ANALYSIS — NOT A VALIDATED FILTER

CORE
  target   pair direction  trades   days  gross_mean  net_0p5_mean  gross_r_mean  target_rate  stop_rate  eod_rate  daily_gross_mean  daily_net_0p5_mean
midpoint EURUSD      long  4813.0 1586.0   -0.247312     -0.747312      0.004194     0.214835   0.640557  0.144608         -0.750514           -2.267853
midpoint EURUSD     short  4589.0 1563.0    0.063882     -0.436118      0.040228     0.216823   0.624101  0.159076          0.187560           -1.280450
midpoint GBPUSD      long  5061.0 1585.0   -0.248197     -0.748197     -0.013433     0.209642   0.654614  0.135744         -0.792508           -2.389038
midpoint GBPUSD     short  4736.0 1531.0    0.104309     -0.395691      0.022713     0.212204   0.632390  0.155405          0.322670           -1.224032
opposite EURUSD      long  4763.0 1586.0   -0.297473     -0.797473      0.003698     0.142977   0.689481  0.167541         -0.893358           -2.394934
opposite EURUSD     short  4520.0 1563.0   -0.049346     -0.549346      0.032757     0.139381   0.672788  0.187832         -0.142703           -1.588641
opposite GBPUSD      long  4989.0 1586.0   -0.383694     -0.883694     -0.023223     0.137903   0.702946  0.159150         -1.206966           -2.779791
opposite GBPUSD     short  4682.0 1533.0    0.173891     -0.326109      0.039473     0.144383   0.675566  0.180051          0.531087           -0.995984

BY ENTRY SESSION
  target   pair direction entry_session  trades   days  gross_mean  net_0p5_mean  gross_r_mean  target_rate  stop_rate  eod_rate  daily_gross_mean  daily_net_0p5_mean
midpoint EURUSD      long        London  2326.0 1123.0   -0.128174     -0.628174      0.022684     0.279020   0.704213  0.016767         -0.265478           -1.301097
midpoint EURUSD      long         NY_AM  1908.0  933.0   -0.235533     -0.735533      0.001455     0.183438   0.629455  0.187107         -0.481669           -1.504177
midpoint EURUSD      long         NY_PM   579.0  352.0   -0.764743     -1.264743     -0.061056     0.060449   0.421416  0.518135         -1.257915           -2.080358
midpoint EURUSD     short        London  2173.0 1068.0    0.660439      0.160439      0.092728     0.288541   0.693971  0.017487          1.343758            0.326436
midpoint EURUSD     short         NY_AM  1804.0  916.0   -0.438000     -0.938000     -0.001737     0.182927   0.604213  0.212860         -0.862611           -1.847327
midpoint EURUSD     short         NY_PM   612.0  360.0   -0.574880     -1.074880     -0.022484     0.062092   0.434641  0.503268         -0.977296           -1.827296
midpoint GBPUSD      long        London  2773.0 1215.0    0.160490     -0.339510     -0.002707     0.268301   0.711504  0.020195          0.366287           -0.774865
midpoint GBPUSD      long         NY_AM  1789.0  856.0   -1.327252     -1.827252     -0.065728     0.155953   0.640022  0.204025         -2.773894           -3.818870
midpoint GBPUSD      long         NY_PM   499.0  325.0    1.349275      0.849275      0.114443     0.076152   0.390782  0.533066          2.071656            1.303964
midpoint GBPUSD     short        London  2436.0 1119.0    0.718475      0.218475      0.062983     0.277504   0.698686  0.023810          1.564080            0.475608
midpoint GBPUSD     short         NY_AM  1697.0  863.0   -0.863497     -1.363497     -0.043898     0.170890   0.621096  0.208014         -1.697977           -2.681175
midpoint GBPUSD     short         NY_PM   603.0  370.0    0.346859     -0.153141      0.047494     0.064677   0.396352  0.538972          0.565286           -0.249579
opposite EURUSD      long        London  2323.0 1123.0   -0.364054     -0.864054      0.012702     0.187258   0.780026  0.032716         -0.753069           -1.787353
opposite EURUSD      long         NY_AM  1879.0  923.0   -0.038098     -0.538098      0.013121     0.121873   0.656200  0.221927         -0.077557           -1.095434
opposite EURUSD      long         NY_PM   561.0  342.0   -0.890522     -1.390522     -0.065142     0.030303   0.426025  0.543672         -1.460768           -2.280943
opposite EURUSD     short        London  2171.0 1068.0    0.596134      0.096134      0.087854     0.192999   0.766928  0.040074          1.211804            0.195418
opposite EURUSD     short         NY_AM  1773.0  901.0   -0.612411     -1.112411     -0.010335     0.111675   0.631698  0.256627         -1.205110           -2.189017
opposite EURUSD     short         NY_PM   576.0  337.0   -0.749041     -1.249041     -0.042262     0.022569   0.444444  0.532986         -1.280260           -2.134859
opposite GBPUSD      long        London  2771.0 1215.0   -0.057253     -0.557253     -0.017612     0.181523   0.779863  0.038614         -0.130575           -1.270904
opposite GBPUSD      long         NY_AM  1756.0  845.0   -1.322371     -1.822371     -0.067202     0.094533   0.659453  0.246014         -2.748028           -3.787082
opposite GBPUSD      long         NY_PM   462.0  298.0    1.226155      0.726155      0.110280     0.041126   0.406926  0.551948          1.900952            1.125784
opposite GBPUSD     short        London  2434.0 1119.0    0.836939      0.336939      0.095622     0.196385   0.761709  0.041906          1.820473            0.732894
opposite GBPUSD     short         NY_AM  1672.0  854.0   -0.789991     -1.289991     -0.038493     0.107057   0.642344  0.250598         -1.546680           -2.525603
opposite GBPUSD     short         NY_PM   576.0  351.0    0.169987     -0.330013      0.028524     0.032986   0.407986  0.559028          0.278952           -0.541561

BY TRADE SEQUENCE
  target   pair direction sequence_bucket  trades   days  gross_mean  net_0p5_mean  gross_r_mean  target_rate  stop_rate  eod_rate  daily_gross_mean  daily_net_0p5_mean
midpoint EURUSD      long               1  1131.0 1131.0    0.448637     -0.051363      0.096752     0.329797   0.656057  0.014147          0.448637           -0.051363
midpoint EURUSD      long               2  1049.0 1049.0    0.138676     -0.361324      0.024775     0.265968   0.668255  0.065777          0.138676           -0.361324
midpoint EURUSD      long               3   888.0  888.0   -0.267777     -0.767777     -0.022190     0.200450   0.647523  0.152027         -0.267777           -0.767777
midpoint EURUSD      long              4+  1745.0  741.0   -0.920005     -1.420005     -0.054741     0.116905   0.610315  0.272779         -2.166543           -3.344006
midpoint EURUSD     short               1  1102.0 1102.0    0.333546     -0.166454      0.087942     0.304900   0.666969  0.028131          0.333546           -0.166454
midpoint EURUSD     short               2  1003.0 1003.0    0.710457      0.210457      0.099933     0.271186   0.651047  0.077767          0.710457            0.210457
midpoint EURUSD     short               3   844.0  844.0   -0.741621     -1.241621     -0.065385     0.191943   0.643365  0.164692         -0.741621           -1.241621
midpoint EURUSD     short              4+  1640.0  723.0   -0.098215     -0.598215      0.026003     0.137195   0.568902  0.293902         -0.222783           -1.356946
midpoint GBPUSD      long               1  1126.0 1126.0    0.654493      0.154493      0.043479     0.311723   0.673179  0.015098          0.654493            0.154493
midpoint GBPUSD      long               2  1061.0 1061.0   -0.519954     -1.019954     -0.040385     0.241282   0.692743  0.065975         -0.519954           -1.019954
midpoint GBPUSD      long               3   923.0  923.0   -0.474438     -0.974438     -0.031728     0.216685   0.676056  0.107259         -0.474438           -0.974438
midpoint GBPUSD      long              4+  1951.0  808.0   -0.514355     -1.014355     -0.022968     0.130190   0.613019  0.256791         -1.241965           -2.449267
midpoint GBPUSD     short               1  1090.0 1090.0   -0.657222     -1.157222     -0.049284     0.274312   0.699083  0.026606         -0.657222           -1.157222
midpoint GBPUSD     short               2   990.0  990.0    2.068576      1.568576      0.192833     0.290909   0.632323  0.076768          2.068576            1.568576
midpoint GBPUSD     short               3   833.0  833.0   -1.587617     -2.087617     -0.075690     0.189676   0.681873  0.128451         -1.587617           -2.087617
midpoint GBPUSD     short              4+  1823.0  783.0    0.266031     -0.233969      0.018340     0.142622   0.569940  0.287438          0.619379           -0.544733
opposite EURUSD      long               1  1131.0 1131.0    0.613440      0.113440      0.123530     0.217507   0.749779  0.032714          0.613440            0.113440
opposite EURUSD      long               2  1041.0 1041.0    0.028986     -0.471014      0.020219     0.180596   0.731028  0.088377          0.028986           -0.471014
opposite EURUSD      long               3   885.0  885.0   -0.640384     -1.140384     -0.068118     0.129944   0.690395  0.179661         -0.640384           -1.140384
opposite EURUSD      long              4+  1706.0  728.0   -0.922685     -1.422685     -0.048570     0.077374   0.623681  0.298945         -2.162226           -3.333929
opposite EURUSD     short               1  1102.0 1102.0    0.667777      0.167777      0.121560     0.199637   0.748639  0.051724          0.667777            0.167777
opposite EURUSD     short               2  1003.0 1003.0    0.220578     -0.279422      0.060032     0.172483   0.714855  0.112662          0.220578           -0.279422
opposite EURUSD     short               3   831.0  831.0   -0.550745     -1.050745     -0.068870     0.123947   0.671480  0.204573         -0.550745           -1.050745
opposite EURUSD     short              4+  1584.0  701.0   -0.456128     -0.956128      0.007022     0.084596   0.594066  0.321338         -1.030680           -2.160495
opposite GBPUSD      long               1  1126.0 1126.0   -0.226053     -0.726053     -0.032721     0.187389   0.777975  0.034636         -0.226053           -0.726053
